title,price,model_year,odo,aminities,specs,number_of_seats,drive_type,number_of_cylinders,body_type,transmission_type,fuel_type,rim_size,first_owner,accidents_(not_verified),currently_financed?,seller_nationality,no._of_keys,roof_type,color,service_history,warranty,service_contract
Land Rover Discovery Sport I4 2.4L ,"
SAR 80,000 ",2016 ,"98,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'gps navigation gps system navigation', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'Driver display', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Paddle shift', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'premium sound premium audio premium audio system', 'Leather Seats', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'Ambient LED interior lighting', 'keyless keyless access system Keyless Entry and Drive keyless entry system remote keyless entry Remote Proximity Keyless Entry smart keyless entry', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'Driver Seat with Memory memory function seat memory', 'Power foldable mirrors', 'Easy closer doors', 'Powered back door', 'Power Lumbar', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,7,AWD,4,SUV,Automatic,Petrol,19,Yes,No,No,Saudi Arabia,2,Sun / Moon Roof,,,"Till Mar-2023 or 50,000 KM",
Lincoln MKC I4 2.0L LS,"
SAR 76,000 ",2015 ,"60,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'gps navigation gps system navigation', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'Driver display', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'Apple Car Play  Google Android Auto', 'premium sound premium audio premium audio system', 'Leather Seats', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'Remote engine starter', 'Ambient LED interior lighting', 'keyless keyless access system Keyless Entry and Drive keyless entry system remote keyless entry Remote Proximity Keyless Entry smart keyless entry', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'Driver Seat with Memory memory function seat memory', 'Powered back door', 'cooled front seats cooled seats front ventilated cooling seats heated front seats heated rear seats heated seats ventilated front seats ventilated seats', 'Power Lumbar', 'blind spot & cross path alert blind spot & cross path detection blind spot alert blind spot assistance blind spot information Blind Spot Information System blind spot monitoring with rear cross-path detection blind spot sensor', 'Pre crash system pre crash safety system', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,5,2WD,4,SUV,Automatic,Petrol,18,,No,No,Jordan,2,Panoramic Roof,Red,,,
Kia Cerato I4 1.6L,"
SAR 30,000 ",2014 ,"178,000 KM",[],GCC /Saudi Specs,5,2WD,4,Sedan,Automatic,Petrol,15,Yes,1 accident,No,,2,,Grey,,,
MG 750 V6 2.5L,"
SAR 17,000 ",2013 ,"172,000 KM","['Graphical Head Up Display', 'front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'Bluetooth', 'Leather Seats', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'cooled front seats cooled seats front ventilated cooling seats heated front seats heated rear seats heated seats ventilated front seats ventilated seats', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,5,2WD,6,Sedan,Automatic,Petrol,١٧,,No,No,Saudi Arabia,1,Sun Roof,Silver,,,
Kia Sorento V6 3.5L,"
SAR 26,000 ",2014 ,"286,000 KM","['Cruise Control', 'gps navigation gps system navigation', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth', 'premium sound premium audio premium audio system', 'LED Headlights']",GCC /Saudi Specs,5,4WD,6,SUV,Automatic,Petrol,17,,2 accidents,No,Saudi Arabia,1,,,Yes in Garage,,
Toyota Camry I4 2.5L SE,"
SAR 91,000 ",2020 ,"73,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'gps navigation gps system navigation', 'Rear Mirror Camera', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Paddle shift', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'keyless keyless access system Keyless Entry and Drive keyless entry system remote keyless entry Remote Proximity Keyless Entry smart keyless entry', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'Power foldable mirrors', 'lane departure alert lane watch lane departure warning', 'Pre crash system pre crash safety system', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,5,2WD,4,Sedan,Automatic,Petrol,17,,1 accident,No,Saudi Arabia,1,Sun Roof,White,,,
Chrysler 300C V6 3.6L,"
SAR 80,000 ",2016 ,"70,000 Miles","['Cruise Control', 'gps navigation gps system navigation', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'Paddle shift', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'premium sound premium audio premium audio system', 'Leather Seats', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'Remote engine starter', 'Ambient LED interior lighting', 'keyless keyless access system Keyless Entry and Drive keyless entry system remote keyless entry Remote Proximity Keyless Entry smart keyless entry', 'Driver Seat with Memory memory function seat memory', 'Power foldable mirrors', 'cooled front seats cooled seats front ventilated cooling seats heated front seats heated rear seats heated seats ventilated front seats ventilated seats', 'Power Lumbar', 'Pre crash system pre crash safety system', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",American Specs,5,2WD,6,Sedan,Automatic,Petrol,20,Yes,No,No,Saudi Arabia,2,Panoramic Roof,White,Yes In Agency,,
MG 6 I4 2.0L,"
SAR 56,000 ",2020 ,"63,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'gps navigation gps system navigation', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth', 'Apple Car Play  Google Android Auto', 'Leather Seats', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'keyless keyless access system Keyless Entry and Drive keyless entry system remote keyless entry Remote Proximity Keyless Entry smart keyless entry', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'Power foldable mirrors', 'LED Headlights']",GCC /Saudi Specs,5,2WD,4,Sedan,Automatic,Petrol,18,Yes,1 accident,No,Saudi Arabia,2,Sun Roof,,,"Till Jan-2026 or 200,000 KM",
MG ZS I4 1.5L,"
SAR 50,000 ",2020 ,"28,000 KM","['Graphical Head Up Display', 'front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'Rear Mirror Camera', 'Driver display', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth', 'premium sound premium audio premium audio system', 'Emergency braking assist']",GCC /Saudi Specs,5,2WD,4,SUV,Automatic,Petrol,16,,No,No,Saudi Arabia,1,,,,,
Kia Sorento V6 3.3L,"
SAR 35,000 ",2014 ,"155,000 KM","['Cruise Control', 'gps navigation gps system navigation', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'Bluetooth', 'Apple Car Play  Google Android Auto', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,6,AWD,6,SUV,Automatic,Petrol,١٧,,1 accident,No,India,2,,Brown,,,
Jeep Compass I4 2.4L Longitude,"
SAR 41,000 ",2018 ,"108,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'gps navigation gps system navigation', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth', 'Apple Car Play  Google Android Auto', 'premium sound premium audio premium audio system', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,5,4WD,4,SUV,Automatic,Petrol,16,,3 or more accidents,No,Egypt,2,,Blue,Yes in Garage,,
Volkswagen Touareg V6 3.6L,"
SAR 50,000 ",2012 ,"85,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'gps navigation gps system navigation', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'Power foldable mirrors', 'Power Lumbar', 'blind spot & cross path alert blind spot & cross path detection blind spot alert blind spot assistance blind spot information Blind Spot Information System blind spot monitoring with rear cross-path detection blind spot sensor']",GCC /Saudi Specs,5,AWD,6,SUV,Automatic,Petrol,18,Yes,No,No,Egypt,1,,Brown,,,
Toyota Avanza I4 1.5L,"
SAR 21,000 ",2015 ,"200,000 KM",[],GCC /Saudi Specs,7,2WD,4,Minivan,Automatic,Petrol,14,Yes,No,No,Saudi Arabia,2,,,,,
Jaguar F-Pace V6 3.0L,"
SAR 167,500 ",2017 ,"51,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'gps navigation gps system navigation', 'Camera Rear Parking Camera Rear view camera Reverse camera', '360 Degree Camera, rear view camera 360 view', 'dynamic radar cruise control', 'Driver display', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Paddle shift', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'Apple Car Play  Google Android Auto', 'premium sound premium audio premium audio system', 'Leather Seats', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'Ambient LED interior lighting', 'keyless keyless access system Keyless Entry and Drive keyless entry system remote keyless entry Remote Proximity Keyless Entry smart keyless entry', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'Driver Seat with Memory memory function seat memory', 'Power foldable mirrors', 'Electric Running Board', 'Powered back door', 'cooled front seats cooled seats front ventilated cooling seats heated front seats heated rear seats heated seats ventilated front seats ventilated seats', 'Power Lumbar', 'blind spot & cross path alert blind spot & cross path detection blind spot alert blind spot assistance blind spot information Blind Spot Information System blind spot monitoring with rear cross-path detection blind spot sensor', 'lane departure alert lane watch lane departure warning', 'Pre crash system pre crash safety system', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,5,AWD,6,SUV,Automatic,Petrol,20,Yes,No,No,Saudi Arabia,2,Panoramic Roof,White,,,
Hyundai Elantra I4 2.0L,"
SAR 61,500 ",2021 ,"58,000 KM","['Cruise Control', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,5,2WD,4,Sedan,Automatic,Petrol,15,,No,No,,,,,,,
Hyundai Sonata I4 2.4L,"
SAR 22,000 ",2012 ,"246,000 KM","['Cruise Control', 'gps navigation gps system navigation', 'Rear Mirror Camera', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,5,2WD,4,Sedan,Automatic,Petrol,17,,No,No,,1,,,,,
Nissan Patrol V6 4.0L Platinum,"
SAR 250,000 ",2021 ,"53,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'gps navigation gps system navigation', 'Camera Rear Parking Camera Rear view camera Reverse camera', '360 Degree Camera, rear view camera 360 view', 'dynamic radar cruise control', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Paddle shift', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'Apple Car Play  Google Android Auto', 'rear entertainment rear seat entertainment seatback video screens', 'premium sound premium audio premium audio system', 'Leather Seats', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'Remote engine starter', 'Ambient LED interior lighting', 'keyless keyless access system Keyless Entry and Drive keyless entry system remote keyless entry Remote Proximity Keyless Entry smart keyless entry', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'Driver Seat with Memory memory function seat memory', 'Power foldable mirrors', 'Powered back door', 'cooled front seats cooled seats front ventilated cooling seats heated front seats heated rear seats heated seats ventilated front seats ventilated seats', 'Power Lumbar', 'lane departure alert lane watch lane departure warning', 'Pre crash system pre crash safety system', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,7,4WD,6,SUV,Automatic,Petrol,20,,No,No,Saudi Arabia,2,Sun Roof,Grey,Yes In Agency,,
Land Rover LR2 I4 2.0L,"
SAR 59,500 ",2014 ,"90,000 KM","['Graphical Head Up Display', 'front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'Rear Mirror Camera', 'dynamic radar cruise control', 'Driver display', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth', 'premium sound premium audio premium audio system', 'Emergency braking assist']",GCC /Saudi Specs,5,2WD,4,SUV,Automatic,Petrol,17,Yes,No,No,Lebanon,1,Sun Roof,White,,,
BMW 740 V6 3.0L,"
SAR 54,000 ",2012 ,"213,000 KM","['Graphical Head Up Display', 'front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'gps navigation gps system navigation', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'dynamic radar cruise control', 'Driver display', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth', 'Apple Car Play  Google Android Auto', 'rear entertainment rear seat entertainment seatback video screens', 'premium sound premium audio premium audio system', 'Leather Seats', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'Ambient LED interior lighting', 'keyless keyless access system Keyless Entry and Drive keyless entry system remote keyless entry Remote Proximity Keyless Entry smart keyless entry', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'Driver Seat with Memory memory function seat memory', 'blind spot & cross path alert blind spot & cross path detection blind spot alert blind spot assistance blind spot information Blind Spot Information System blind spot monitoring with rear cross-path detection blind spot sensor', 'lane departure alert lane watch lane departure warning', 'Pre crash system pre crash safety system', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,4,2WD,6,Sedan,Automatic,Petrol,18,,No,No,,1,Sun Roof,,,,
Ford Ecosport I4 1.5L,"
SAR 28,000 ",2015 ,"188,000 KM","['Cruise Control', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,5,2WD,4,SUV,Automatic,Petrol,15,Yes,1 accident,No,Saudi Arabia,1,,Silver,,,
Lexus ES300 I4 2.5L Hybrid ,"
SAR 175,000 ",2019 ,"39,000 KM","['Graphical Head Up Display', 'front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'gps navigation gps system navigation', 'Camera Rear Parking Camera Rear view camera Reverse camera', '360 Degree Camera, rear view camera 360 view', 'Driver display', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Paddle shift', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'Apple Car Play  Google Android Auto', 'premium sound premium audio premium audio system', 'Leather Seats', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'Remote engine starter', 'Ambient LED interior lighting', 'keyless keyless access system Keyless Entry and Drive keyless entry system remote keyless entry Remote Proximity Keyless Entry smart keyless entry', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'Driver Seat with Memory memory function seat memory', 'Power foldable mirrors', 'Powered back door', 'Power Lumbar', 'blind spot & cross path alert blind spot & cross path detection blind spot alert blind spot assistance blind spot information Blind Spot Information System blind spot monitoring with rear cross-path detection blind spot sensor', 'lane departure alert lane watch lane departure warning', 'Pre crash system pre crash safety system', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,5,2WD,4,Sedan,Automatic,Hybrid,18,Yes,No,No,Saudi Arabia,2,Sun Roof,Grey,Yes In Agency,"Till Jun-2023 or 100,000 KM",
Mercedes C200 I4 2.0L AMG,"
SAR 81,500 ",2015 ,"109,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'gps navigation gps system navigation', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'Automated Parking', 'Driver display', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Paddle shift', 'Bluetooth', 'premium sound premium audio premium audio system', 'Leather Seats', 'Ambient LED interior lighting', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'Power Lumbar', 'Pre crash system pre crash safety system', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,5,2WD,4,Sedan,Automatic,Petrol,R18,Yes,2 accidents,No,Saudi Arabia,1,Panoramic Roof,,,,
Mercedes E300 V6 3.5L AMG,"
SAR 92,000 ",2016 ,"197,000 KM","['Cruise Control', 'gps navigation gps system navigation', 'Camera Rear Parking Camera Rear view camera Reverse camera', '360 Degree Camera, rear view camera 360 view', 'Driver display', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'premium sound premium audio premium audio system', 'Leather Seats', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'Ambient LED interior lighting', 'keyless keyless access system Keyless Entry and Drive keyless entry system remote keyless entry Remote Proximity Keyless Entry smart keyless entry', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'Driver Seat with Memory memory function seat memory', 'Powered back door', 'Power Lumbar', 'blind spot & cross path alert blind spot & cross path detection blind spot alert blind spot assistance blind spot information Blind Spot Information System blind spot monitoring with rear cross-path detection blind spot sensor', 'Pre crash system pre crash safety system', 'LED Headlights']",GCC /Saudi Specs,5,2WD,6,Convertible,Automatic,Petrol,R18,,No,No,Egypt,1,Panoramic Roof,,,,
Toyota Corolla I4 1.6L XLI,"
SAR 20,000 ",2012 ,"353,000 KM","['Bluetooth', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,5,2WD,4,Sedan,Manual,Petrol,١٦,Yes,No,No,Saudi Arabia,1,,White,,,
Audi Q5 I4 2.0L,"
SAR 26,000 ",2011 ,"279,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'gps navigation gps system navigation', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth', 'Leather Seats', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'cooled front seats cooled seats front ventilated cooling seats heated front seats heated rear seats heated seats ventilated front seats ventilated seats', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,5,2WD,4,SUV,Automatic,Petrol,20,,1 accident,No,Saudi Arabia,1,Panoramic Roof,,,,
