Amenities,Bedrooms,Bathrooms,Area (m²),Furnished,Level,Ad Type,Type,Payment Option,price,title,location,Compound
,3,2,115,No,2,For Sale,Apartment,Cash,"1,500,000 EGPnegotiable",شقه بمصر الجديدة,Heliopolis,
,3,3,175,No,3,For Sale,Apartment,Cash,"2,300,000 EGP",شقه روووعه 175م////D,Madinaty,Madinaty
,3,2,204,Yes,2,For Sale,Apartment,Cash,"2,800,000 EGPnegotiable",شقة ٢.٤م تشطيب ممتاز بشارع رمسيس الرئيسي,Ramses + Ramses Extension,Not in Compound
Private Garden,2,2,96,,Ground,For Sale,Apartment,Cash,"1,350,000 EGP",لقطه للبيع 96+45م جنينه فيو وايد جاردن ///...,Madinaty,
"Balcony,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,85,No,9,For Sale,Apartment,Cash,"90,000 EGP",شقة ايجار قديم للبيع شقة عروسة,Marg,
"Security,Electricity Meter,Natural Gas,Landline,Elevator",3,2,150,No,3,For Sale,Apartment,Cash,"1,500,000 EGP",التجمع الخامس النرجس شقه للبيع,New Cairo - El Tagamoa,
"Balcony,Electricity Meter,Water Meter,Natural Gas,Elevator",3,2,165,No,3,For Sale,Apartment,Cash,"750,000 EGP",ارخص شقه باحلا فيو ع زهراء مدينة نصر,Nasr City,
"Balcony,Security,Covered Parking,Electricity Meter,Water Meter,Landline,Elevator",3,2,175,No,2,For Sale,Apartment,Cash,"1,111 EGP",شقه عمارات الجيش الاستثماري - دجله المعادي,Maadi,
,2,1,90,,7,For Sale,Apartment,Cash,"450,000 EGPnegotiable",شقه في شارع طومان باى الرئيسى متشطبه,Helmeyat El Zaytoun,
"Balcony,Security,Electricity Meter,Natural Gas,Landline,Elevator",3,2,103,No,4,For Sale,Apartment,Cash,"1,200,000 EGP",شقه 103م تمليك ب مدينتي خالصه,Madinaty,Madinaty
,3,3,210,,3,For Sale,Apartment,Cash,"1,700,000 EGP",مطلوب شقة ٢١٠ متر بحري مش اول ولا اخير,Mokattam,The Square
,3,1,120,,8,For Sale,Apartment,Cash,"770,000 EGP",شقه للبيع بحدائق القبه,Hadayek al-Kobba,
"Balcony,Security,Covered Parking,Maids Room,Electricity Meter,Water Meter,Elevator",2,1,110,No,Highest,For Sale,Apartment,Cash,"500,000 EGPnegotiable",شقه بابراج الأوقاف اول شارع رايل,Obour City,
"Balcony,Private Garden,Security,Maids Room,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",4,4,266,No,Ground,For Sale,Apartment,Cash,"3,200,000 EGP",نموذج 600 تمليك بسعر مغري ب مدينتي,Madinaty,Madinaty
,3,2,135,No,1,For Sale,Apartment,Cash,"1,450,000 EGP",شقه رووعه 135م بمدينتى///D,Madinaty,Madinaty
"Built in Kitchen Appliances,Electricity Meter,Water Meter,Natural Gas,Landline",3,2,220,No,1,For Sale,Apartment,Cash,"2,000,000 EGP",فرصه عظيمه,New Cairo - El Tagamoa,
"Electricity Meter,Water Meter,Natural Gas,Elevator",3,1,90,No,5,For Sale,Apartment,Cash,"345,000 EGP",شقه للبيع بالمنيب بالمربع الذهبي,Downtown Cairo,
,3,2,130,,5,For Sale,Apartment,Cash,"460,000 EGPnegotiable",شقه ١٣٠م ٣غرف و٢ حمام وصاله كبيرة بحرى طرف...,Helwan,
"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,240,No,1,For Sale,Apartment,Cash,"1,650,000 EGPnegotiable",شقة ٢٤٠ متر للبيع,Nasr City,
"Balcony,Central A/C & heating,Security,Maids Room,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",4,3,300,No,7,For Sale,Apartment,Cash,"3,800,000 EGPnegotiable",شقة على حديقة الطفل شارع احمد فخري الرئيسي,Nasr City,
"Pets Allowed,Electricity Meter,Water Meter,Elevator",3,1,130,No,9,For Sale,Apartment,Cash,"680,000 EGP",شقة 130م متشطبة سوبر لوكس في بيتشو امريكان...,Zahraa Al Maadi,
,3,2,200,,2,For Sale,Apartment,Cash,"990,000 EGPnegotiable",فرصه حقيقيه شقه بالحي السابع,Obour City,
,3,2,170,,3,For Sale,Apartment,Cash,"1,000,000 EGPnegotiable",شقه للبيع,Shorouk City,
Private Garden,3,2,230,No,Ground,For Sale,Apartment,Cash,"2,550,000 EGP",شقة للبيع ، منطقة الاحياء ، التجمع الخامس ...,New Cairo - El Tagamoa,
"Balcony,Pets Allowed,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,180,No,4,For Sale,Apartment,Cash,"1,700,000 EGP",شقة سوبر لوكس 180م بجوار اخناتون والشويفات...,New Cairo - El Tagamoa,
,3,3,200,No,4,For Sale,Apartment,Cash,"2,600,000 EGP",للبيع 200م في الرحاب المرحله الرابعه تشطيب...,Rehab City,
,3,2,220,No,Ground,For Sale,Apartment,Cash,"1,850,000 EGPnegotiable",شقة للبيع بالنزهة الجديدة,New Nozha,
"Balcony,Elevator,Security",3,3,182,No,10+,For Sale,Apartment,Cash,"2,400,000 EGP",استلام شقه تشطيب سوبر لوكس بموقع مميزفى تا...,New Cairo - El Tagamoa,Tag Sultan
"Balcony,Security,Electricity Meter,Water Meter",3,1,90,No,Ground,For Sale,Apartment,Cash,"1,000,000 EGPnegotiable",للبيع بمدينتي,Madinaty,Madinaty
"Balcony,Built in Kitchen Appliances,Central A/C & heating,Pets Allowed,Security,Water Meter,Elevator",2,2,146,,2,For Sale,Apartment,Cash,"2,500,000 EGP",للبيع شقة 2نوم بالمطبخ فيلدج التجمع Apartm...,New Cairo - El Tagamoa,The Village
"Electricity Meter,Water Meter,Natural Gas,Elevator",3,2,210,,2,For Sale,Apartment,Cash,"2,700,000 EGPnegotiable",شقه لقطه بسعر لقطه في موقع متميز في البنفس...,New Cairo - El Tagamoa,
,3,2,240,,3,For Sale,Apartment,Cash,"1,000,000 EGP",دور كامل على فاصل رئيسى فى جاردينيا هايتس ...,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Electricity Meter,Water Meter,Natural Gas,Elevator",2,1,130,No,5,For Sale,Apartment,Cash,"570,000 EGPnegotiable",شقه ١٣٠ متر للبيع خلف اولاد رجب الحي العاش...,Nasr City,
"Balcony,Private Garden,Security,Water Meter,Natural Gas,Landline,Elevator",2,1,82,No,2,For Sale,Apartment,Cash,"850,000 EGP",شقه ٨٢م تمليك ب مدينتي خالصه ب٨٥٠ الف,Madinaty,Madinaty
,3,2,153,No,Ground,For Sale,Apartment,Cash,"2,600,000 EGP",شقه لقطه 153م بحديقه40م /// D,Madinaty,Madinaty
,3,1,125,,7,For Sale,Apartment,Cash,"280,000 EGP",شقه للبيع,Nasr City,
"Private Garden,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,107,No,Ground,For Sale,Apartment,Cash,"1,300,000 EGP",شقه للبيع ب مدينتي ارضي بحديقه B6,Madinaty,Madinaty
"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline",4,1,150,No,4,For Sale,Apartment,Cash,"430,000 EGP",شقه في شارع مدرسة جابر الأنصاري من ناحيه ا...,Salam City,
,2,1,100,No,3,For Sale,Apartment,Cash,"490,000 EGP",شقه للبيع,Rod al-Farag,
"Balcony,Electricity Meter,Water Meter",2,1,100,No,6,For Sale,Apartment,Cash,"350,000 EGPnegotiable",شقة للبيع,Tura,
"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline",3,1,75,No,3,For Sale,Apartment,Cash,"123,456 EGP",المعادي الجديده الشطر العاشر,Maadi,
,2,1,130,,1,For Sale,Apartment,Cash,"800,000 EGP",شقه علي البحر مباشره,Nasr City,
"Balcony,Electricity Meter,Water Meter",2,1,100,No,4,For Sale,Apartment,Cash,"350,000 EGP",شقة للبيع,Tura,
,3,1,138,No,4,For Sale,Apartment,Cash,"1,480,000 EGP",للبيع شقة تحفة جاردن فيو,Madinaty,Madinaty
,3,3,300,No,3,For Sale,Apartment,Cash,"900,000 EGP",روف للبيع,Shorouk City,
,3,3,240,No,4,For Sale,Apartment,Cash,"1,800,000 EGP",شقة 240م للبيع في التجمع الخامس بسعر مغري ...,New Cairo - El Tagamoa,
,2,1,85,No,7,For Sale,Apartment,Cash,"1,000 EGP",شقه للايجار ق . ج بجوار مستشفي جرحات اليوم...,Marg,
"Balcony,Covered Parking,Elevator",2,1,120,No,10+,For Sale,Apartment,Cash,"325,000 EGPnegotiable",شقة للبيع من المالك مباشره,Helwan,
,3,2,210,No,2,For Sale,Apartment,Cash,"2,100,000 EGP",شقة تحفة بالتجمع بالبنفسج فيلات مساحة ٢١٠ ...,New Cairo - El Tagamoa,
,3,2,103,No,Ground,For Sale,Apartment,Cash,"1,600,000 EGP",للبييع بمدينتى 103م ارضي بحديقه/// D,Madinaty,Madinaty
"Private Garden,Security,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Balcony",3,2,166,No,Ground,For Sale,Apartment,Cash,"200,000 EGPnegotiable",روان للعقارات والتشطيبات,Obour City,
"Balcony,Security,Covered Parking,Electricity Meter,Water Meter,Natural Gas,Elevator",3,3,225,No,Highest,For Sale,Apartment,Cash,"1,150,000 EGP",للبيع روف تم التصالح عليه ٢٢٥ متر مع ٤٠٠ م...,Shorouk City,
,2,1,750,,3,For Sale,Apartment,Cash,"260,000 EGPnegotiable",شقة تمليك,Marg,
"Balcony,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Elevator",3,2,145,No,2,For Sale,Apartment,Cash,"650,000 EGP",شقة للبيع,Gesr Al Suez,
,3,3,163,No,2,For Sale,Apartment,Cash,"1,450,000 EGP",للبيع شقه بكمبوند the square التجمع الخامس,New Cairo - El Tagamoa,The Square
,2,2,122,No,4,For Sale,Apartment,Cash,"800,000 EGP",للبيع // شقة ١٢٢ م ب كومبلكس جراند جيت ع د...,Maadi,Grand Gate
,3,2,131,No,4,For Sale,Apartment,Cash,"1,600,000 EGP",شقه لقطه 131م ///D,Madinaty,Madinaty
,2,1,120,,1,For Sale,Apartment,Cash,"1,200,000 EGPnegotiable",شقه بمصر الجديده ارض الجولف تصلح عياده او ...,Heliopolis,
"Balcony,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,165,,3,For Sale,Apartment,Cash,"1,000,250 EGPnegotiable",فرصة بمعمار المرشدى جراند سيتى المعادى,Zahraa Al Maadi,
"Balcony,Electricity Meter,Water Meter,Elevator",3,1,110,No,2,For Sale,Apartment,Cash,"800,000 EGP",شقة للبيع,Helmeyat El Zaytoun,
,2,1,86,,5,For Sale,Apartment,Cash,"465,000 EGPnegotiable",شفه 86م مساكن ظباط زهراء مدينه نصر,Nasr City,
,3,2,155,No,5,For Sale,Apartment,Cash,"1,500,000 EGP",بموقع متميز جدا بالنزهه,New Nozha,
"Balcony,Covered Parking,Pets Allowed,Security",2,2,96,No,3,For Sale,Apartment,Cash,"940,000 EGP",مدينتي شقه 96 متر نصف تشطيب خالصة الثمن ب ...,Madinaty,Madinaty
"Electricity Meter,Water Meter,Natural Gas,Elevator",3,2,120,No,9,For Sale,Apartment,Cash,"360,000 EGPnegotiable",شقه للبيع بالترخيص والمصالحه,Helwan,
"Balcony,Central A/C & heating,Security,Covered Parking,Pets Allowed,Pool,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,85,No,9,For Sale,Apartment,Cash,"470,000 EGP",شقه للبيع,Obour City,Kattameya Gate
,3,3,155,No,1,For Sale,Apartment,Cash,"2,050,000 EGP",امتلك شقه بالرحاب بسعر لقطه,Rehab City,
,2,1,65,No,3,For Sale,Apartment,Cash,"250,000 EGP",شقة للبيع,Obour City,
"Balcony,Security,Electricity Meter,Water Meter,Natural Gas,Elevator",3,1,120,No,5,For Sale,Apartment,Cash,"1,150,000 EGPnegotiable",شقة للبيع ١٢٠ متر في زهراء مدينة نصر,Nasr City,
"Balcony,Security,Covered Parking,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,145,No,10+,For Sale,Apartment,Cash,"1,500,000 EGP",شقة للبيع عمارات العبور صلاح سالم,Gesr Al Suez,
"Electricity Meter,Water Meter,Natural Gas,Landline",2,1,60,No,6,For Sale,Apartment,Cash,"200,000 EGP",شقة للبيع بدار السلام الدور ٦ والاخير,Dar al-Salaam,
,3,2,220,,2,For Sale,Apartment,Cash,"2,100,000 EGP",شقة ٢٢٠ متر بالتجمع الاول بسعر مميز لسرعة ...,New Cairo - El Tagamoa,
"Balcony,Covered Parking,Pets Allowed,Electricity Meter,Natural Gas,Landline,Elevator",3,2,155,,2,For Sale,Apartment,Cash,"1,900,000 EGP",شقة مميزة للبيع النرجس عمارات,New Cairo - El Tagamoa,
,3,1,120,,2,For Sale,Apartment,Cash,"450,000 EGPnegotiable",شقه للبيع,Downtown Cairo,
Pets Allowed,2,2,96,,1,For Sale,Apartment,Cash,"650,000 EGP",لقطه للبيع 96م بسعر تجاري,Madinaty,
"Electricity Meter,Natural Gas",2,1,65,No,3,For Sale,Apartment,Cash,"250,000 EGP",شقة للبيع,Helmeyat El Zaytoun,
,3,3,154,No,2,For Sale,Apartment,Cash,"900,000 EGP",شقة ١٥٤ م للبيع,Gesr Al Suez,Sarai
"Electricity Meter,Water Meter,Natural Gas",3,1,145,No,3,For Sale,Apartment,Cash,"700,000 EGP",شقتين 145 متر بالحى التانى بالعبور بجوار ا...,Obour City,
"Balcony,Pets Allowed,Security",2,3,156,,Ground,For Sale,Apartment,Cash,"2,773,213 EGP",شقة 156 م بحديقة 70 م للبيع في ايستاون سود...,New Cairo - El Tagamoa,Eastown
"Balcony,Covered Parking,Pets Allowed,Security,Electricity Meter,Water Meter,Elevator",4,3,223,,6,For Sale,Apartment,Cash,"1,750,000 EGP",شقة رائعه للبيع مساكن شيراتون امام صن سيتي...,Sheraton,
"Balcony,Pets Allowed,Private Garden,Security,Electricity Meter,Water Meter",2,1,96,No,Ground,For Sale,Apartment,Cash,"500,000 EGPnegotiable",شقة للبيع بكومباوند منتجع الشروق,Shorouk City,Paradise
,3,2,180,,5,For Sale,Apartment,Cash,"1,000,000 EGP",من المالك شقه للبيع بالمقطم العليا كريم بن...,Mokattam,
"Balcony,Security",3,1,115,No,Ground,For Sale,Apartment,Cash,"1,520,000 EGP",Apartment for sale,Madinaty,Madinaty
"Balcony,Covered Parking,Pets Allowed,Security,Electricity Meter,Water Meter,Landline",3,2,224,No,4,For Sale,Apartment,Cash,"1,900,000 EGP",شقة للبيع 224م بارقى عمارات النرجس القاهرة...,New Cairo - El Tagamoa,
"Balcony,Security,Covered Parking,Pets Allowed,Water Meter,Natural Gas,Elevator",3,3,205,No,6,For Sale,Apartment,Cash,"2,650,000 EGP",شقه بالقاهرة مصر الجديدة,Heliopolis,
"Balcony,Security,Pets Allowed,Electricity Meter,Natural Gas,Landline,Elevator",3,3,210,,3,For Sale,Apartment,Cash,"1,900,000 EGP",شقة بسعر لقطة بكمبوند حياة دجلة المعادي,Maadi,
"Security,Elevator,Covered Parking",3,3,200,Yes,3,For Sale,Apartment,Cash,"6,000,000 EGPnegotiable",شقه سوبر لوكس للبيع,Zamalek,
,2,1,70,No,2,For Sale,Apartment,Cash,"550,000 EGP",شقه للبيع,New Cairo - El Tagamoa,
,2,1,83,,1,For Sale,Apartment,Cash,"820,000 EGP",شقه للبيع 82م بي11 تشطيبات خاصه بسعر لقطه ...,Madinaty,
"Balcony,Security,Natural Gas",2,1,86,No,2,For Sale,Apartment,Cash,"530,000 EGP",شقة بمساكن القوات المسلحة زهراء مدينة نصر ...,Nasr City,
"Balcony,Water Meter,Natural Gas,Elevator",3,2,185,No,3,For Sale,Apartment,Cash,"550,000 EGP",شقة بحدائق الاهرام 185م للبيع,Downtown Cairo,
"Balcony,Electricity Meter,Water Meter,Natural Gas",3,2,175,No,2,For Sale,Apartment,Cash,930 EGP,شقه روعه جديده الترالوكس بالتاسع عبور قطعه...,Obour City,
"Balcony,Security,Covered Parking,Pets Allowed,Electricity Meter,Natural Gas,Landline",3,2,175,,4,For Sale,Apartment,Cash,"1,300,000 EGP",شقة للبيع بكمبوند حياة دجلة المعادي,Maadi,
"Electricity Meter,Water Meter,Natural Gas,Elevator",2,1,90,No,10+,For Sale,Apartment,Cash,"500,000 EGP",شقة للبيع حلمية الزيتون,Helmeyat El Zaytoun,
,2,2,96,,2,For Sale,Apartment,Cash,"650,000 EGP",شقه للبيع 96م بسعر لقطه 650 الف,Madinaty,
"Balcony,Security,Covered Parking,Electricity Meter,Water Meter,Natural Gas,Landline",3,1,170,No,9,For Sale,Apartment,Cash,"1,100,000 EGP",شقة علي النيل,Tura,
"Electricity Meter,Water Meter,Natural Gas",3,1,145,No,3,For Sale,Apartment,Cash,"700,000 EGP",شقتين للبيع 145 متر بالحى التانى بجوار الن...,Obour City,
"Built in Kitchen Appliances,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,1,130,,5,For Sale,Apartment,Cash,"7,000 EGP",شقه 130 متر سوبر لوكس –مميزه عين شمس قريبه...,Ain Shams,
"Electricity Meter,Water Meter,Natural Gas",8,1,65,No,3,For Sale,Apartment,Cash,"17,000 EGP",شقة تشطيب لوكس غاذ طبيعي عداد مياه منفصل ا...,Helwan,
,3,2,133,,2,For Sale,Apartment,Cash,"1,800,000 EGP",فرصه للجادين موجود شقه للبيع بالرحاب مرحله...,Rehab City,
Balcony,3,1,125,No,3,For Sale,Apartment,Cash,"350,000 EGPnegotiable",شقة سوبر مسجلة وعليها صحة توقيع,New Cairo - El Tagamoa,
,3,2,220,No,7,For Sale,Apartment,Cash,"1,450,000 EGP",شقه للبيع بين عباس العقاد و مكرم عبيد تشطي...,Nasr City,
"Balcony,Built in Kitchen Appliances,Electricity Meter,Water Meter,Natural Gas,Elevator",3,1,130,,1,For Sale,Apartment,Cash,"7,000 EGP",شقه 130 متر سوبر لوكس بسعر مغري,Ain Shams,
"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline",3,2,130,No,4,For Sale,Apartment,Cash,"15,000,000 EGP",رووف للبيع موقع ممتاز هاى سوبر لوكس,New Cairo - El Tagamoa,
,4,3,250,Yes,6,For Sale,Apartment,Cash,"2,400,000 EGP",شقه للبيع 250 م علي جنينه فيو مفتوح مش مجر...,Nasr City,
,3,3,250,No,8,For Sale,Apartment,Cash,"1,500,000 EGP",شقه للبيع 250 م بالقرب من مكرم عبيد وابو د...,Nasr City,
"Balcony,Electricity Meter,Water Meter,Natural Gas,Elevator",3,2,190,No,3,For Sale,Apartment,Cash,"2,100,000 EGP",شقه للبيع بالتجمع الخامس سوبر لوكس,New Cairo - El Tagamoa,
"Balcony,Built in Kitchen Appliances,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,135,Yes,7,For Sale,Apartment,Cash,"1,600,000 EGP",شقة للبيع بمصر الجديدة,Heliopolis,
"Balcony,Security,Electricity Meter,Natural Gas",2,1,145,No,3,For Sale,Apartment,Cash,"1,400,000 EGPnegotiable",شقه بالتجمع الثالث,Qasr al-Nil,
,3,2,178,No,3,For Sale,Apartment,Cash,"1,230,000 EGPnegotiable",شقه ١٧٨م للبيع بكومبوند هليوبوليس ريزيدنس,Shorouk City,Heliopolis Residence
"Balcony,Security,Elevator",2,2,96,,3,For Sale,Apartment,Cash,"1,250,000 EGP",شقه للبيع بمدينتي ٩٦م,Madinaty,Madinaty
"Natural Gas,Water Meter,Electricity Meter",3,1,100,No,6,For Sale,Apartment,Cash,"250,000 EGPnegotiable",شقه للبيع بالدور السادس و ليس الأخير,Ain Shams,
,3,1,170,No,4,For Sale,Apartment,Cash,"1,250,000 EGP",شقه مميزة جدا بالقرب من حديقة الطفل مكرم ع...,Nasr City,
Elevator,2,1,75,No,8,For Sale,Apartment,Cash,"300,000 EGP",شقة طوب احمر للبيع ٧٥م قريبة من الالف مسكن,Ain Shams,
"Balcony,Built in Kitchen Appliances,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,1,130,No,4,For Sale,Apartment,Cash,"7,000 EGP",شقه 130 متر سوبر لوكس بسعر مغري –مميزه عين...,Ain Shams,
"Balcony,Built in Kitchen Appliances,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,105,No,6,For Sale,Apartment,Cash,"650,000 EGPnegotiable",شقه للبيع بالمقطم هضبه عليا رابع نمره من ش...,Mokattam,
,3,3,190,No,Ground,For Sale,Apartment,Cash,"3,100,000 EGP",للبيع شقة ارضى بجارن فى كمبوند v.g.k بموقع...,New Cairo - El Tagamoa,VGK
,2,2,86,No,2,For Sale,Apartment,Cash,"800,000 EGP",للبيع بمدينتي شقة بسعر لقطة,Madinaty,Madinaty
,3,2,190,,1,For Sale,Apartment,Cash,"1,550,000 EGP",للبيع شقة لقطة بفيلات التجمع الخامس,New Cairo - El Tagamoa,
,2,1,90,No,1,For Sale,Apartment,Cash,"750,000 EGP",شقق للبيع في شبرا مصر بجوار مستشفي شبرا ال...,Shubra,
"Built in Kitchen Appliances,Landline,Elevator",3,1,130,,3,For Sale,Apartment,Cash,850 EGP,شقة للبيع,Hadayek Helwan,
,3,1,120,,6,For Sale,Apartment,Cash,"150,000 EGP",شقه للبيع بالمطريه,Downtown Cairo,
"Balcony,Private Garden,Covered Parking,Electricity Meter,Water Meter,Natural Gas,Elevator",3,3,225,No,1,For Sale,Apartment,Cash,"1,200,000 EGPnegotiable",شقة نص تشطيب امام كمباوند حسن علام,Shorouk City,
,2,1,80,No,2,For Sale,Apartment,Cash,"450,000 EGP",شقه 80م,Maadi,Degla Palms
,2,1,70,No,3,For Sale,Apartment,Cash,"300,000 EGP",فرصه ممتازه شقة للبيع بالشروق اقل قسط دور ...,Shorouk City,Not in Compound
,3,2,108,,2,For Sale,Apartment,Cash,"1,350,000 EGP",فرصه موجود شقه للبيع بالرحاب ١٠٨ م دور ٢ م...,Rehab City,
,4,4,266,No,4,For Sale,Apartment,Cash,"3,300,000 EGP",للبيع شقة بسعر لقطة بمدينتي نموذج 600,Madinaty,Madinaty
,2,1,90,No,2,For Sale,Apartment,Cash,"1,100,000 EGP",فرصه للجادين موجود شقه للبيع بالرحاب ٩٠ م ...,Rehab City,
"Balcony,Covered Parking,Maids Room,Pets Allowed,Security,Electricity Meter,Water Meter,Elevator",3,3,210,No,1,For Sale,Apartment,Cash,"4,250,000 EGP",El Patio 7 | 210m Fully Finished Apartment...,New Cairo - El Tagamoa,EL Patio 7
"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,150,No,2,For Sale,Apartment,Cash,"1,100,000 EGP",شقة لهواة التميز بالمقطم,Mokattam,
,2,1,120,No,5,For Sale,Apartment,Cash,"875,000 EGP",شقه 120 متر بدون حصة في الارض 3غرف 100م صا...,Heliopolis,
"Balcony,Built in Kitchen Appliances,Central A/C & heating,Pets Allowed,Security,Electricity Meter,Water Meter,Elevator",3,3,211,No,3,For Sale,Apartment,Cash,"4,350,000 EGP",Park View - New Cairo | 211m Fully Finishe...,New Cairo - El Tagamoa,Park View
"Balcony,Security,Electricity Meter,Water Meter,Natural Gas,Elevator",3,1,140,No,5,For Sale,Apartment,Cash,"1,150,000 EGP",شقة من مالك في إبن سندر ب حمامات القبة,Helmeyat El Zaytoun,
"Balcony,Covered Parking,Maids Room,Pets Allowed,Private Garden,Security,Pool,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,164,No,Ground,For Sale,Apartment,Cash,"2,500,000 EGP",Ground floor for sale at galleria moon val...,New Cairo - El Tagamoa,Galleria Moon Valley
