title,location,bedrooms,bathrooms,area,price,compound,location_neighborhood,location_city,Partly_furnished,Security,Balcony,Shared_Gym,Networked,Shared_Pool,View_of_Water,View_of_Landmark,Children's_Play_Area,Barbecue_Area,Covered_Parking,Shared_Spa,Unfurnished,Kitchen_Appliances,Central_A/C,Children's_Pool,Concierge,Built_in_Wardrobes,Lobby_in_Building,Study,Walk-in_Closet,Pets_Allowed,Maid_Service,Private_Garden,Maids_Room,Private_Gym,Private_Jacuzzi,Private_Pool,Furnished
Apartment 140m for sale in Mountain View Hyde Park,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,140,16500000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Amazing Duplex  Eastown Directly ON the ClubHouse,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,234,2954000.0,1,The 5th Settlement, New Cairo City,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Luxurious flat  Apartment  for sale in maadi,"Victoria Square, Degla, Hay El Maadi, Cairo",4,3,296,4000000.0,0,Degla, Hay El Maadi,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0
*Low PRICE* Apartment 200m + Shared Pool in Mivida,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,200,3500000.0,1,The 5th Settlement, New Cairo City,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0
Apartment upgraded finishing for rent at Mivida,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,200,3400000.0,1,The 5th Settlement, New Cairo City,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0
Apartment for Sale in Mivida Emaar,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,200,3700000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Apartment for Sale in Eastown Sodic,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,278,4200000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Apartment For sale in Hyde Park opportunity,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3,155,1600000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0
Apartment 200 m for sale in New Cairo - Mivida,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,200,4000000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Apartment 3 bed+ Nanny's for sale in VGK Compound.,"Village Gardens Katameya, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,185,2100000.0,1,The 5th Settlement, New Cairo City,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
شقة 3 غرف تقسيط 7 سنوات الباتيو اورو التجمع الخامس,"El Patio Oro, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,166,2400000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
In Eastown SODIC 5th settlement apartment for sale,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,190,1400000.0,1,The 5th Settlement, New Cairo City,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
finished Apartment 10% DP in Heliopolis Towers,"Porto Heliopolis, Almazah, Heliopolis - Masr El Gedida, Cairo",2,3,204,2600000.0,0,Almazah, Heliopolis - Masr El Gedida,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Apartment for sale in zahraa el maadi 160m .,"10th Sector, Zahraa El Maadi, Hay El Maadi, Cairo",3,2,160,1840000.0,0,Zahraa El Maadi, Hay El Maadi,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Apartment in lake view residence rest over 4 years,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,262,860000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0
Apartment for sale in One Qatamya compound .,"One Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo",3,2,145,1450000.0,1,El Katameya, New Cairo City,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Apartment In Midtown Condo New Capital 210m,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",2,1,120,1067000.0,1,New Capital Compounds, New Capital City,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
Apartment in New Capital 0% Down Payment-10 Years,"The Loft, New Capital Compounds, New Capital City, Cairo",3,2,174,1938000.0,1,New Capital Compounds, New Capital City,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
المنصور اقوى مشروع بمدينة نصر TRUE شقة محسوبة صح,"True, Nasr City Compounds, Nasr City, Cairo",2,1,75,457500.0,1,Nasr City Compounds, Nasr City,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OWN your apartment at midtown with only 555,000","Midtown Sky, New Capital Compounds, New Capital City, Cairo",1,1,90,555000.0,1,New Capital Compounds, New Capital City,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
Great Offer 40% Cash Discount in Midtown Sky .,"Midtown Sky, New Capital Compounds, New Capital City, Cairo",2,2,140,1058000.0,1,New Capital Compounds, New Capital City,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
188 m bait  Watn - 5th district - 2 years delivery,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",3,3,188,1244400.0,0,The 5th Settlement, New Cairo City,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
Zed East Apartment 108m+Garden fully Finished+AC,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,108,2500000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Hot & Prime location Apartment for sale 278M,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,278,4300000.0,1,The 5th Settlement, New Cairo City,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0
For Sale Finished Apt With 15% DP - Installment 7Y,"R7, New Capital City, Cairo",3,2,187,2760471.0,0,R7, New Capital City,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Duplex 303m in installments on 8years deliver 2021,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,3,303,6500000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0
Apartment With price meter 6700 IN New Capital,"Town Gate, New Capital Compounds, New Capital City, Cairo",3,3,155,1200000.0,1,New Capital Compounds, New Capital City,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Apartment fully finished in Eastown Sodic,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,210,3750000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Great 40% cash discount Midtown sky,"Midtown Sky, New Capital Compounds, New Capital City, Cairo",2,2,140,1058400.0,1,New Capital Compounds, New Capital City,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Apartment for sale in Tejan compound 205m + Garden,"Tijan, Zahraa El Maadi, Hay El Maadi, Cairo",4,3,205,2200000.0,1,Zahraa El Maadi, Hay El Maadi,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0
Apartment for sale in zahraa elmaadi 170m .,"Thirteenth Sector, Zahraa El Maadi, Hay El Maadi, Cairo",2,2,170,1250000.0,0,Zahraa El Maadi, Hay El Maadi,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Buy Now in District5 Apartment Very prime Location,"District 5, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,1,126,2442000.0,1,The 5th Settlement, New Cairo City,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Apartment In Midtown Condo New Capital 210m,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",2,1,120,934000.0,1,New Capital Compounds, New Capital City,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
Apartment 274m in mountain view hyde park-move now,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,274,540000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0
apartment 190 m for sale new capital discount 25%,"Castle Landmark, New Capital Compounds, New Capital City, Cairo",3,3,190,1725000.0,1,New Capital Compounds, New Capital City,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Apartment In Midtown Condo New Capital 120m,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",2,1,120,800000.0,1,New Capital Compounds, New Capital City,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Apartment for sale in zahraa elmaadi 185m .,"7th Sector, Zahraa El Maadi, Hay El Maadi, Cairo",3,3,185,1700000.0,0,Zahraa El Maadi, Hay El Maadi,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Apartment 152 m2 for sale in galleria moon valley,"Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",3,3,152,1250000.0,0,South Investors Area, New Cairo City,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ground Apartment in Bloomfield 5 % Down Payment,"Bloomfields, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,3,190,2889000.0,1,Mostakbal City Compounds, Mostakbal City - Future City,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Apartment In Midtown Condo New Capital 210m,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",3,2,210,1867000.0,1,New Capital Compounds, New Capital City,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
Apartment 110m For Sale prime location - New Cairo,"North Lotus, El Lotus, New Cairo City, Cairo",2,1,110,760000.0,0,El Lotus, New Cairo City,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apartment for sale in zahraa elmaadi 165m .,"Corniche St., El Mearag City, Zahraa El Maadi, Hay El Maadi, Cairo",3,2,165,1300000.0,0,Zahraa El Maadi, Hay El Maadi,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Ground Floor Apartment in mivida crescent for sale,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,205,5750000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0
"Apartment 10 Years Instalment 80,000 Down payment","Bloomfields, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",2,2,125,1600000.0,1,Mostakbal City Compounds, Mostakbal City - Future City,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Ground floor apartment 230 m for sale in crescent,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,230,6500000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
the lowest down payment in Mountain Vi Hyde Park.,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,134,2100000.0,1,The 5th Settlement, New Cairo City,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Flat for sale at Hyde Park fully finished,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,197,2850000.0,1,The 5th Settlement, New Cairo City,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Apartment For Sale Maadi nerko Cairo super lux,"Masaken Nerco St., Degla, Hay El Maadi, Cairo",3,2,170,1550000.0,0,Degla, Hay El Maadi,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
عرض 100/100 حتى  4/10/2020 احجز شقتك فى true,"True, Nasr City Compounds, Nasr City, Cairo",3,2,118,790600.0,1,Nasr City Compounds, Nasr City,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Apartment In Midtown Condo New Capital 210m,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",3,2,210,1400000.0,1,New Capital Compounds, New Capital City,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
apartment for sale in eastown  --  (  sodic ),"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3,164,2600000.0,1,The 5th Settlement, New Cairo City,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Delivered Apartment at Eastown with installments,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,154,2184000.0,1,The 5th Settlement, New Cairo City,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Apartment 139m, in Zed East, Installments 96 month","Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,139,3385000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0
Own your apartment in Castle Landmark New Capital,"Castle Landmark, New Capital Compounds, New Capital City, Cairo",2,2,120,1200000.0,1,New Capital Compounds, New Capital City,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Last studio 70m Dejoya New Capital, installment10y","De Joya, New Capital Compounds, New Capital City, Cairo",1,1,70,950000.0,1,New Capital Compounds, New Capital City,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apartment for sale in zahraa elmaadi 200m .,"Darna, Zahraa El Maadi, Hay El Maadi, Cairo",3,2,200,1550000.0,0,Zahraa El Maadi, Hay El Maadi,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Own your apartment in the heart of the new capital,"Menorca, New Capital Compounds, New Capital City, Cairo",3,3,168,1629600.0,1,New Capital Compounds, New Capital City,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0
Apartment for sale ground floor with private garden,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,127,2400000.0,1,The 5th Settlement, New Cairo City,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0
Apartment  for Sale in mivida | Emaar | with Garden,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,159,3380000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
Fully finished 190 meter apartment in West Arabella,"West Arabella, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,190,2250000.0,1,The 5th Settlement, New Cairo City,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
Apartment 160 m in Village gardens Katameya compound,"Village Gardens Katameya, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,160,1600000.0,1,The 5th Settlement, New Cairo City,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
apartment sale or rent maadi cornish fully furnished,"Cornish El Nile St., Maadi, Hay El Maadi, Cairo",2,2,180,2650000.0,0,Maadi, Hay El Maadi,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Apartment For Sale in Eastown View Park 8 acres DIRECTLY,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,210,3300000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0
Apartment for Sale In Al Rehab 118m² ultra lux .,"Nizar Kabani St., Rehab City First Phase, Al Rehab, New Cairo City, Cairo",3,2,118,1650000.0,0,Al Rehab, New Cairo City,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pay 149K And Own Apt 143m With Installments 8 Y .,"R7, New Capital City, Cairo",3,3,143,1490000.0,0,R7, New Capital City,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
aprtment fully finished with full kitchen in the waterway,"The Water Way, North Investors Area, New Cairo City, Cairo",3,3,163,4880000.0,0,North Investors Area, New Cairo City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apartment | Mivida | Boulevard | Fully Finished,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,1,209,4300000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
Hot Deal Apartment for sale 155M Eastown Sodic,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3,155,3000000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0
Apartment fully finished for sale in the water way compound,"The Water Way, North Investors Area, New Cairo City, Cairo",3,3,212,6750000.0,1,North Investors Area, New Cairo City,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
own your apartment at castle landmark with down payment 10 %,"Castle Landmark, New Capital Compounds, New Capital City, Cairo",3,3,225,2157000.0,1,New Capital Compounds, New Capital City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apartment for sale at de joya new capital with 10 % down payment,"De Joya, New Capital Compounds, New Capital City, Cairo",3,2,150,1425000.0,1,New Capital Compounds, New Capital City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apartment for sale in zahraa el maadi 205m .,"Corniche St., El Mearag City, Zahraa El Maadi, Hay El Maadi, Cairo",3,3,205,1500000.0,0,Zahraa El Maadi, Hay El Maadi,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
apartment for sale uptown cairo 140SQM,"The Sierras, Uptown Cairo, Mokattam, Cairo",2,3,140,3600000.0,0,Uptown Cairo, Mokattam,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197 m new Andalus immediate receipt - 3 years inst,"Al Andalus El Gedida, Al Andalus District, New Cairo City, Cairo",3,2,197,1793600.0,0,Al Andalus District, New Cairo City,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Own your apartment with the lowest down payment .,"Degla Towers, Nasr City Compounds, Nasr City, Cairo",3,1,104,634400.0,1,Nasr City Compounds, Nasr City,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Apartment for sale in zahraa elmaadi 140m .,"7th Sector, Zahraa El Maadi, Hay El Maadi, Cairo",2,1,140,1200000.0,0,Zahraa El Maadi, Hay El Maadi,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Apartment for sale in zahraa elmaadi 125m .,"7th Sector, Zahraa El Maadi, Hay El Maadi, Cairo",2,2,125,980000.0,0,Zahraa El Maadi, Hay El Maadi,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Apartment for sale in zahraa elmaadi 170m .,"6th Sector, Zahraa El Maadi, Hay El Maadi, Cairo",3,2,170,1400000.0,0,Zahraa El Maadi, Hay El Maadi,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
