title,price,location,property_type,bedrooms,bathrooms,area,amenities,creattion_date
Apartment with great location with 60 month,"
          1,564,000
              EGP  ","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",Apartment,4 ,4 ,230 sqm,"['Unfurnished', 'Security', 'Concierge', 'Lobby in Building', 'Balcony', 'Study', 'Walk-in Closet', 'Networked', 'View of Landmark', 'Covered Parking']",Listed:1 day ago
"Apartment lake view down payment 800,000- move now","
          800,000
              EGP  ","Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,207 sqm,"['Unfurnished', 'Security', 'Private Garden', ""Children's Pool"", 'Concierge', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Maids Room', 'Shared Pool', 'Pets Allowed', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking']",Listed:23 hours ago
Apartment 215 m. for sale in lake view residence..,"
          2,642,000
              EGP  ","Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,2 ,215 sqm,"['Unfurnished', 'Central A/C', 'Security', ""Children's Pool"", 'Concierge', 'Maid Service', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Maids Room', 'Study', 'Walk-in Closet', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:1 day ago
"192m in Hyde Park, immediate receipt + 6 years ins","
          3,175,000
              EGP  ","Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,192 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Lobby in Building', 'Balcony', 'Private Gym', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Shared Spa']",Listed:19 hours ago
"for sale 179m, the new capital, 0% down payment","
          1,582,000
              EGP  ","Atika, New Capital Compounds, New Capital City, Cairo",Apartment,2 ,2 ,131 sqm,"['Unfurnished', 'Kitchen Appliances', 'Security', 'Private Garden', 'Concierge', 'Maid Service', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:23 hours ago
Apartment 140m for sale in Mountain View Hyde Park,"
          16,500,000
              EGP  ","Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,140 sqm,"['Unfurnished', 'Security', 'Balcony', 'Shared Gym', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Shared Spa']",Listed:23 hours ago
Amazing Duplex  Eastown Directly ON the ClubHouse,"
          2,954,000
              EGP  ","Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,4 ,4 ,234 sqm,"['Unfurnished', 'Security', 'Balcony', 'Pets Allowed']",Listed:1 day ago
Luxurious flat  Apartment  for sale in maadi,"
          4,000,000
              EGP  ","Victoria Square, Degla, Hay El Maadi, Cairo",Apartment,4 ,3 ,296 sqm,"['Partly furnished', 'Kitchen Appliances', 'Central A/C', 'Security', 'Private Garden', 'Concierge', 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Study', 'Walk-in Closet', 'Networked', 'Pets Allowed', 'View of Landmark', 'Barbecue Area']",Listed:5 hours ago
*Low PRICE* Apartment 200m + Shared Pool in Mivida,"
          3,500,000
              EGP  ","Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,200 sqm,"['Unfurnished', 'Security', 'Private Garden', 'Concierge', 'Maid Service', 'Lobby in Building', 'Balcony', 'Maids Room', 'Walk-in Closet', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Landmark', 'Covered Parking']",Listed:1 hour ago
Apartment upgraded finishing for rent at Mivida,"
          3,400,000
              EGP  ","Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,200 sqm,"['Unfurnished', 'Security', 'Concierge', 'Balcony', 'Maids Room', 'Study', 'Walk-in Closet', 'Pets Allowed', 'View of Water', 'View of Landmark']",Listed:1 hour ago
Apartment for Sale in Mivida Emaar,"
          3,700,000
              EGP  ","Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,200 sqm,"['Unfurnished', 'Security', 'Maid Service', 'Balcony', 'Shared Gym', 'Study', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Landmark', ""Children's Play Area"", 'Covered Parking', 'Shared Spa']",Listed:1 day ago
Apartment for Sale in Eastown Sodic,"
          4,200,000
              EGP  ","Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,4 ,4 ,278 sqm,"['Unfurnished', 'Security', 'Maid Service', 'Balcony', 'Shared Gym', 'Study', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Covered Parking', 'Shared Spa']",Listed:23 hours ago
Apartment For sale in Hyde Park opportunity,"
          1,600,000
              EGP  ","Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,3 ,155 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Concierge', 'Maid Service', 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Shared Spa']",Listed:18 hours ago
Apartment 200 m for sale in New Cairo - Mivida,"
          4,000,000
              EGP  ","Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,200 sqm,"['Unfurnished', 'Security', 'Maid Service', 'Balcony', 'Shared Gym', 'Walk-in Closet', 'Shared Pool', 'Pets Allowed', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:7 minutes ago
Apartment 3 bed+ Nanny's for sale in VGK Compound.,"
          2,100,000
              EGP  ","Village Gardens Katameya, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,185 sqm,"['Unfurnished', 'Security', 'Balcony', 'Pets Allowed', 'View of Landmark', 'Covered Parking']",Listed:1 day ago
Apartment 3 bed+ Nanny's for sale in VGK Compound.,"
          2,100,000
              EGP  ","Village Gardens Katameya, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,185 sqm,"['Unfurnished', 'Security', 'Balcony', 'Pets Allowed', 'View of Landmark', 'Covered Parking']",Listed:1 day ago
شقة 3 غرف تقسيط 7 سنوات الباتيو اورو التجمع الخامس,"
          2,400,000
              EGP  ","El Patio Oro, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,2 ,166 sqm,"['Unfurnished', 'Kitchen Appliances', 'Central A/C', 'Security', ""Children's Pool"", 'Concierge', 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Study', 'Walk-in Closet', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:1 day ago
In Eastown SODIC 5th settlement apartment for sale,"
          1,400,000
              EGP  ","Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,190 sqm,"['Unfurnished', 'Security', 'Private Garden', 'Balcony', 'Pets Allowed', 'View of Landmark', 'Covered Parking']",Listed:23 hours ago
finished Apartment 10% DP in Heliopolis Towers,"
          2,600,000
              EGP  ","Porto Heliopolis, Almazah, Heliopolis - Masr El Gedida, Cairo",Apartment,2 ,3 ,204 sqm,"['Unfurnished', 'Security', 'Private Garden', 'Balcony']",Listed:2 days ago
Apartment for sale in zahraa el maadi 160m .,"
          1,840,000
              EGP  ","10th Sector, Zahraa El Maadi, Hay El Maadi, Cairo",Apartment,3 ,2 ,160 sqm,"['Unfurnished', 'Kitchen Appliances', 'Security', 'Concierge', 'Lobby in Building', 'Balcony', 'Networked', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area']",Listed:2 days ago
Apartment in lake view residence rest over 4 years,"
          860,000
              EGP  ","Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,262 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Concierge', 'Maid Service', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Maids Room', 'Study', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:1 day ago
Apartment for sale in One Qatamya compound .,"
          1,450,000
              EGP  ","One Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo",Apartment,3 ,2 ,145 sqm,"['Unfurnished', 'Kitchen Appliances', 'Security', 'Concierge', 'Lobby in Building', 'Balcony', 'Networked', 'Shared Pool', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking']",Listed:2 days ago
Apartment In Midtown Condo New Capital 210m,"
          1,067,000
              EGP  ","Midtown Condo, New Capital Compounds, New Capital City, Cairo",Apartment,2 ,1 ,120 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Concierge', 'Lobby in Building', 'Balcony', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking']",Listed:1 day ago
Apartment in New Capital 0% Down Payment-10 Years,"
          1,938,000
              EGP  ","The Loft, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,174 sqm,"['Unfurnished', 'Central A/C', 'Security', 'Balcony', 'Shared Pool', 'View of Water', 'View of Landmark']",Listed:1 day ago
المنصور اقوى مشروع بمدينة نصر TRUE شقة محسوبة صح,"
          457,500
              EGP  ","True, Nasr City Compounds, Nasr City, Cairo",Apartment,2 ,1 ,75 sqm,"['Partly furnished', 'Security', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Networked', 'Shared Pool', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:2 hours ago
"OWN your apartment at midtown with only 555,000","
          555,000
              EGP  ","Midtown Sky, New Capital Compounds, New Capital City, Cairo",Apartment,1 ,1 ,90 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Lobby in Building', 'Balcony', 'Shared Gym', 'Walk-in Closet', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:48 minutes ago
Great Offer 40% Cash Discount in Midtown Sky .,"
          1,058,000
              EGP  ","Midtown Sky, New Capital Compounds, New Capital City, Cairo",Apartment,2 ,2 ,140 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Lobby in Building', 'Balcony', 'Shared Gym', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:1 day ago
188 m bait  Watn - 5th district - 2 years delivery,"
          1,244,400
              EGP  ","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,188 sqm,"['Unfurnished', 'Security', 'Concierge', 'Lobby in Building', 'Balcony', 'Study', 'Walk-in Closet', 'Networked', 'View of Landmark', 'Covered Parking']",Listed:1 day ago
Zed East Apartment 108m+Garden fully Finished+AC,"
          2,500,000
              EGP  ","Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,108 sqm,"['Unfurnished', 'Kitchen Appliances', 'Central A/C', 'Security', 'Balcony', 'Shared Gym', 'Walk-in Closet', 'Shared Pool', 'Pets Allowed', 'View of Landmark', ""Children's Play Area"", 'Covered Parking']",Listed:21 hours ago
Hot & Prime location Apartment for sale 278M,"
          4,300,000
              EGP  ","Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,4 ,4 ,278 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Concierge', 'Maid Service', 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Maids Room', 'Walk-in Closet', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking']",Listed:29 minutes ago
For Sale Finished Apt With 15% DP - Installment 7Y,"
          2,760,471
              EGP  ","R7, New Capital City, Cairo",Apartment,3 ,2 ,187 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Lobby in Building', 'Balcony', 'Shared Gym', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:23 hours ago
Duplex 303m in installments on 8years deliver 2021,"
          6,500,000
              EGP  ","Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,4 ,3 ,303 sqm,"['Unfurnished', 'Private Jacuzzi', 'Security', 'Private Garden', ""Children's Pool"", 'Concierge', 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Maids Room', 'Study', 'Walk-in Closet', 'Networked', 'Private Pool', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:1 day ago
Apartment With price meter 6700 IN New Capital,"
          1,200,000
              EGP  ","Town Gate, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,3 ,155 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Balcony', 'Shared Gym', 'Study', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:18 hours ago
Apartment fully finished in Eastown Sodic,"
          3,750,000
              EGP  ","Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,210 sqm,"['Unfurnished', 'Security', 'Maid Service', 'Balcony', 'Shared Gym', 'Study', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Covered Parking', 'Shared Spa']",Listed:23 hours ago
Great 40% cash discount Midtown sky,"
          1,058,400
              EGP  ","Midtown Sky, New Capital Compounds, New Capital City, Cairo",Apartment,2 ,2 ,140 sqm,"['Partly furnished', 'Security', ""Children's Pool"", 'Balcony', 'Pets Allowed', 'View of Water', 'View of Landmark']",Listed:1 day ago
Apartment for sale in Tejan compound 205m + Garden,"
          2,200,000
              EGP  ","Tijan, Zahraa El Maadi, Hay El Maadi, Cairo",Apartment,4 ,3 ,205 sqm,"['Unfurnished', 'Kitchen Appliances', 'Private Jacuzzi', 'Security', 'Private Garden', 'Concierge', 'Lobby in Building', 'Balcony', 'Walk-in Closet', 'Networked', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking']",Listed:2 days ago
Apartment for sale in zahraa elmaadi 170m .,"
          1,250,000
              EGP  ","Thirteenth Sector, Zahraa El Maadi, Hay El Maadi, Cairo",Apartment,2 ,2 ,170 sqm,"['Unfurnished', 'Kitchen Appliances', 'Security', 'Concierge', 'Lobby in Building', 'Balcony', 'Networked', 'Pets Allowed', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area']",Listed:2 days ago
Buy Now in District5 Apartment Very prime Location,"
          2,442,000
              EGP  ","District 5, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,1 ,126 sqm,"['Partly furnished', 'Private Garden', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Shared Pool', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:1 day ago
Apartment In Midtown Condo New Capital 210m,"
          934,000
              EGP  ","Midtown Condo, New Capital Compounds, New Capital City, Cairo",Apartment,2 ,1 ,120 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Concierge', 'Lobby in Building', 'Balcony', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking']",Listed:1 day ago
Apartment 274m in mountain view hyde park-move now,"
          540,000
              EGP  ","Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,274 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Concierge', 'Maid Service', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Maids Room', 'Study', 'Shared Pool', 'Pets Allowed', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking']",Listed:1 day ago
apartment 190 m for sale new capital discount 25%,"
          1,725,000
              EGP  ","Castle Landmark, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,3 ,190 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Concierge', 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Study', 'Walk-in Closet', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:2 days ago
Apartment In Midtown Condo New Capital 120m,"
          800,000
              EGP  ","Midtown Condo, New Capital Compounds, New Capital City, Cairo",Apartment,2 ,1 ,120 sqm,"['Unfurnished', 'Security', 'Concierge', 'Lobby in Building', 'Balcony', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking']",Listed:1 day ago
Apartment for sale in zahraa elmaadi 185m .,"
          1,700,000
              EGP  ","7th Sector, Zahraa El Maadi, Hay El Maadi, Cairo",Apartment,3 ,3 ,185 sqm,"['Unfurnished', 'Kitchen Appliances', 'Security', 'Concierge', 'Lobby in Building', 'Balcony', 'Networked', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area']",Listed:2 days ago
Apartment 152 m2 for sale in galleria moon valley,"
          1,250,000
              EGP  ","Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",Apartment,3 ,3 ,152 sqm,"['Unfurnished', 'Security', 'Balcony', 'Shared Pool', 'Covered Parking']",Listed:2 days ago
Ground Apartment in Bloomfield 5 % Down Payment,"
          2,889,000
              EGP  ","Bloomfields, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",Apartment,3 ,3 ,190 sqm,"['Unfurnished', 'Central A/C', 'Security', 'Private Garden', 'Balcony', 'Pets Allowed', 'View of Landmark']",Listed:1 day ago
Apartment In Midtown Condo New Capital 210m,"
          1,867,000
              EGP  ","Midtown Condo, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,210 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Concierge', 'Lobby in Building', 'Balcony', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking']",Listed:1 day ago
Apartment 110m For Sale prime location - New Cairo,"
          760,000
              EGP  ","North Lotus, El Lotus, New Cairo City, Cairo",Apartment,2 ,1 ,110 sqm,"['Unfurnished', 'Security', 'Balcony', 'View of Landmark']",Listed:1 day ago
Apartment for sale in zahraa elmaadi 165m .,"
          1,300,000
              EGP  ","Corniche St., El Mearag City, Zahraa El Maadi, Hay El Maadi, Cairo",Apartment,3 ,2 ,165 sqm,"['Unfurnished', 'Kitchen Appliances', 'Security', 'Concierge', 'Lobby in Building', 'Balcony', 'Networked', 'Pets Allowed', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area']",Listed:2 days ago
Ground Floor Apartment in mivida crescent for sale,"
          5,750,000
              EGP  ","Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,205 sqm,"['Unfurnished', 'Private Jacuzzi', 'Security', 'Private Garden', ""Children's Pool"", 'Concierge', 'Maid Service', 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Study', 'Walk-in Closet', 'Networked', 'Private Pool', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:20 hours ago
"Apartment 10 Years Instalment 80,000 Down payment","
          1,600,000
              EGP  ","Bloomfields, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",Apartment,2 ,2 ,125 sqm,"['Unfurnished', 'Kitchen Appliances', 'Central A/C', 'Security', ""Children's Pool"", 'Concierge', 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Study', 'Walk-in Closet', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:23 hours ago
Ground floor apartment 230 m for sale in crescent,"
          6,500,000
              EGP  ","Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,230 sqm,"['Unfurnished', 'Security', 'Private Garden', ""Children's Pool"", 'Concierge', 'Maid Service', 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Study', 'Walk-in Closet', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:20 hours ago
the lowest down payment in Mountain Vi Hyde Park.,"
          2,100,000
              EGP  ","Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,134 sqm,"['Unfurnished', 'Security', 'Concierge', 'Shared Gym', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Covered Parking', 'Shared Spa']",Listed:1 day ago
Flat for sale at Hyde Park fully finished,"
          2,850,000
              EGP  ","Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,197 sqm,"['Unfurnished', 'Security', 'Balcony', 'Study', 'Walk-in Closet', 'Networked', 'Pets Allowed', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking']",Listed:48 minutes ago
Apartment For Sale Maadi nerko Cairo super lux,"
          1,550,000
              EGP  ","Masaken Nerco St., Degla, Hay El Maadi, Cairo",Apartment,3 ,2 ,170 sqm,"['Partly furnished', 'Kitchen Appliances', 'Security', 'Balcony', 'Covered Parking']",Listed:2 hours ago
عرض 100/100 حتى  4/10/2020 احجز شقتك فى true,"
          790,600
              EGP  ","True, Nasr City Compounds, Nasr City, Cairo",Apartment,3 ,2 ,118 sqm,"['Unfurnished', 'Security', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Networked', 'Shared Pool', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:3 hours ago
Apartment In Midtown Condo New Capital 210m,"
          1,400,000
              EGP  ","Midtown Condo, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,210 sqm,"['Unfurnished', 'Security', 'Concierge', 'Lobby in Building', 'Balcony', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking']",Listed:1 day ago
